General Index,Voltage,Sensor
574,718,fotorresistencia_data.csv
575,723,fotorresistencia_data.csv
576,725,fotorresistencia_data.csv
577,726,fotorresistencia_data.csv
578,734,fotorresistencia_data.csv
579,736,fotorresistencia_data.csv
580,739,fotorresistencia_data.csv
581,736,fotorresistencia_data.csv
582,726,fotorresistencia_data.csv
583,733,fotorresistencia_data.csv
584,758,fotorresistencia_data.csv
585,765,fotorresistencia_data.csv
586,807,fotorresistencia_data.csv
587,824,fotorresistencia_data.csv
588,828,fotorresistencia_data.csv
589,823,fotorresistencia_data.csv
590,821,fotorresistencia_data.csv
591,825,fotorresistencia_data.csv
592,829,fotorresistencia_data.csv
593,823,fotorresistencia_data.csv
594,831,fotorresistencia_data.csv
595,837,fotorresistencia_data.csv
596,830,fotorresistencia_data.csv
597,831,fotorresistencia_data.csv
598,850,fotorresistencia_data.csv
599,846,fotorresistencia_data.csv
600,850,fotorresistencia_data.csv
601,850,fotorresistencia_data.csv
602,850,fotorresistencia_data.csv
603,852,fotorresistencia_data.csv
604,849,fotorresistencia_data.csv
605,845,fotorresistencia_data.csv
606,833,fotorresistencia_data.csv
607,836,fotorresistencia_data.csv
608,833,fotorresistencia_data.csv
609,835,fotorresistencia_data.csv
610,836,fotorresistencia_data.csv
611,833,fotorresistencia_data.csv
612,840,fotorresistencia_data.csv
613,845,fotorresistencia_data.csv
614,847,fotorresistencia_data.csv
615,841,fotorresistencia_data.csv
616,846,fotorresistencia_data.csv
617,853,fotorresistencia_data.csv
618,859,fotorresistencia_data.csv
619,859,fotorresistencia_data.csv
620,856,fotorresistencia_data.csv
621,856,fotorresistencia_data.csv
622,855,fotorresistencia_data.csv
623,860,fotorresistencia_data.csv
624,862,fotorresistencia_data.csv
625,878,fotorresistencia_data.csv
626,870,fotorresistencia_data.csv
627,867,fotorresistencia_data.csv
628,869,fotorresistencia_data.csv
629,869,fotorresistencia_data.csv
630,829,fotorresistencia_data.csv
631,665,fotorresistencia_data.csv
632,553,fotorresistencia_data.csv
633,510,fotorresistencia_data.csv
634,378,fotorresistencia_data.csv
635,428,fotorresistencia_data.csv
636,465,fotorresistencia_data.csv
637,308,fotorresistencia_data.csv
638,303,fotorresistencia_data.csv
639,301,fotorresistencia_data.csv
640,301,fotorresistencia_data.csv
641,303,fotorresistencia_data.csv
642,307,fotorresistencia_data.csv
643,413,fotorresistencia_data.csv
644,461,fotorresistencia_data.csv
645,303,fotorresistencia_data.csv
646,304,fotorresistencia_data.csv
647,305,fotorresistencia_data.csv
648,305,fotorresistencia_data.csv
649,306,fotorresistencia_data.csv
650,305,fotorresistencia_data.csv
651,304,fotorresistencia_data.csv
652,304,fotorresistencia_data.csv
653,304,fotorresistencia_data.csv
654,303,fotorresistencia_data.csv
655,303,fotorresistencia_data.csv
656,303,fotorresistencia_data.csv
657,303,fotorresistencia_data.csv
658,306,fotorresistencia_data.csv
659,306,fotorresistencia_data.csv
660,303,fotorresistencia_data.csv
661,252,fotorresistencia_data.csv
662,259,fotorresistencia_data.csv
663,294,fotorresistencia_data.csv
664,302,fotorresistencia_data.csv
665,306,fotorresistencia_data.csv
666,307,fotorresistencia_data.csv
667,307,fotorresistencia_data.csv
668,307,fotorresistencia_data.csv
669,306,fotorresistencia_data.csv
670,308,fotorresistencia_data.csv
671,308,fotorresistencia_data.csv
672,308,fotorresistencia_data.csv
673,309,fotorresistencia_data.csv
674,309,fotorresistencia_data.csv
675,309,fotorresistencia_data.csv
676,309,fotorresistencia_data.csv
677,309,fotorresistencia_data.csv
678,309,fotorresistencia_data.csv
679,310,fotorresistencia_data.csv
680,310,fotorresistencia_data.csv
681,310,fotorresistencia_data.csv
682,310,fotorresistencia_data.csv
683,310,fotorresistencia_data.csv
684,312,fotorresistencia_data.csv
685,312,fotorresistencia_data.csv
686,312,fotorresistencia_data.csv
687,310,fotorresistencia_data.csv
688,309,fotorresistencia_data.csv
689,310,fotorresistencia_data.csv
690,309,fotorresistencia_data.csv
691,308,fotorresistencia_data.csv
692,306,fotorresistencia_data.csv
693,306,fotorresistencia_data.csv
694,304,fotorresistencia_data.csv
695,303,fotorresistencia_data.csv
696,303,fotorresistencia_data.csv
697,305,fotorresistencia_data.csv
698,309,fotorresistencia_data.csv
699,312,fotorresistencia_data.csv
700,313,fotorresistencia_data.csv
701,313,fotorresistencia_data.csv
702,313,fotorresistencia_data.csv
703,313,fotorresistencia_data.csv
704,313,fotorresistencia_data.csv
705,313,fotorresistencia_data.csv
706,313,fotorresistencia_data.csv
707,313,fotorresistencia_data.csv
708,313,fotorresistencia_data.csv
709,313,fotorresistencia_data.csv
710,313,fotorresistencia_data.csv
711,313,fotorresistencia_data.csv
712,313,fotorresistencia_data.csv
713,313,fotorresistencia_data.csv
714,313,fotorresistencia_data.csv
715,313,fotorresistencia_data.csv
716,313,fotorresistencia_data.csv
717,313,fotorresistencia_data.csv
718,313,fotorresistencia_data.csv
719,313,fotorresistencia_data.csv
720,313,fotorresistencia_data.csv
721,314,fotorresistencia_data.csv
722,314,fotorresistencia_data.csv
723,314,fotorresistencia_data.csv
724,315,fotorresistencia_data.csv
725,314,fotorresistencia_data.csv
726,314,fotorresistencia_data.csv
727,314,fotorresistencia_data.csv
728,315,fotorresistencia_data.csv
729,315,fotorresistencia_data.csv
730,314,fotorresistencia_data.csv
731,315,fotorresistencia_data.csv
732,314,fotorresistencia_data.csv
733,315,fotorresistencia_data.csv
734,314,fotorresistencia_data.csv
735,314,fotorresistencia_data.csv
736,315,fotorresistencia_data.csv
737,315,fotorresistencia_data.csv
738,314,fotorresistencia_data.csv
739,315,fotorresistencia_data.csv
740,315,fotorresistencia_data.csv
741,315,fotorresistencia_data.csv
742,315,fotorresistencia_data.csv
743,315,fotorresistencia_data.csv
744,315,fotorresistencia_data.csv
745,314,fotorresistencia_data.csv
746,310,fotorresistencia_data.csv
747,307,fotorresistencia_data.csv
748,306,fotorresistencia_data.csv
749,306,fotorresistencia_data.csv
750,306,fotorresistencia_data.csv
751,306,fotorresistencia_data.csv
752,307,fotorresistencia_data.csv
753,308,fotorresistencia_data.csv
754,310,fotorresistencia_data.csv
755,310,fotorresistencia_data.csv
756,312,fotorresistencia_data.csv
757,310,fotorresistencia_data.csv
758,310,fotorresistencia_data.csv
759,310,fotorresistencia_data.csv
760,310,fotorresistencia_data.csv
761,310,fotorresistencia_data.csv
762,310,fotorresistencia_data.csv
763,310,fotorresistencia_data.csv
764,309,fotorresistencia_data.csv
765,308,fotorresistencia_data.csv
766,308,fotorresistencia_data.csv
767,308,fotorresistencia_data.csv
768,308,fotorresistencia_data.csv
769,309,fotorresistencia_data.csv
770,310,fotorresistencia_data.csv
771,310,fotorresistencia_data.csv
772,312,fotorresistencia_data.csv
773,313,fotorresistencia_data.csv
774,313,fotorresistencia_data.csv
775,313,fotorresistencia_data.csv
776,313,fotorresistencia_data.csv
777,313,fotorresistencia_data.csv
778,314,fotorresistencia_data.csv
779,314,fotorresistencia_data.csv
780,313,fotorresistencia_data.csv
781,313,fotorresistencia_data.csv
782,313,fotorresistencia_data.csv
783,312,fotorresistencia_data.csv
784,312,fotorresistencia_data.csv
785,310,fotorresistencia_data.csv
786,310,fotorresistencia_data.csv
787,310,fotorresistencia_data.csv
788,310,fotorresistencia_data.csv
789,310,fotorresistencia_data.csv
790,310,fotorresistencia_data.csv
791,310,fotorresistencia_data.csv
792,310,fotorresistencia_data.csv
793,310,fotorresistencia_data.csv
794,310,fotorresistencia_data.csv
795,312,fotorresistencia_data.csv
796,312,fotorresistencia_data.csv
797,312,fotorresistencia_data.csv
798,310,fotorresistencia_data.csv
799,313,fotorresistencia_data.csv
800,327,fotorresistencia_data.csv
801,338,fotorresistencia_data.csv
802,465,fotorresistencia_data.csv
803,507,fotorresistencia_data.csv
804,468,fotorresistencia_data.csv
805,416,fotorresistencia_data.csv
806,361,fotorresistencia_data.csv
807,361,fotorresistencia_data.csv
808,397,fotorresistencia_data.csv
809,525,fotorresistencia_data.csv
810,676,fotorresistencia_data.csv
811,737,fotorresistencia_data.csv
812,864,fotorresistencia_data.csv
